2026-07-11 01:16:48 | DEBUG    | crawler              |   HTML (96,785b) depth=0: https://www.pucp.edu.pe/unidad/departamento-de-ingenieria-informatica-electronica-y-de-las-telecomunicaciones
2026-07-11 01:16:48 | DEBUG    | crawler              | robots.txt unreadable for https://educacioncontinua.pucp.edu.pe: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1028)> (allowing)
2026-07-11 01:16:48 | DEBUG    | crawler              |   HTML (224,857b) depth=0: https://educacioncontinua.pucp.edu.pe/oferta-academica?tipo%5B%5D=cursos-y-talleres&tipo%5B%5D=talleres
2026-07-11 01:16:48 | DEBUG    | crawler              |   HTML (111,145b) depth=0: https://www.pucp.edu.pe/carrera/ingenieria-de-las-telecomunicaciones
2026-07-11 01:16:49 | DEBUG    | crawler              |   HTML (110,035b) depth=0: https://www.pucp.edu.pe/carrera/ingenieria-electronica
2026-07-11 01:16:49 | DEBUG    | crawler              |   HTML (109,145b) depth=0: https://www.pucp.edu.pe/carrera/ingenieria-informatica
2026-07-11 01:16:49 | DEBUG    | crawler              | robots.txt unreadable for https://puntoedu.pucp.edu.pe: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1028)> (allowing)
2026-07-11 01:16:49 | DEBUG    | crawler              |   HTML (331,986b) depth=0: https://puntoedu.pucp.edu.pe/vida-universitaria/institucional/el-departamento-academico-de-ciencias-pucp-60-aniversario
2026-07-11 01:16:49 | DEBUG    | crawler              |   HTML (109,166b) depth=0: https://www.pucp.edu.pe/carrera/ciencias-de-la-informacion
2026-07-11 01:16:49 | DEBUG    | crawler              |   HTML (108,956b) depth=0: https://www.pucp.edu.pe/carrera/fisica
2026-07-11 01:16:49 | DEBUG    | crawler              |   HTML (111,146b) depth=0: https://www.pucp.edu.pe/carrera/ingenieria-ambiental-y-sostenible
2026-07-11 01:16:49 | DEBUG    | crawler              |   HTML (110,055b) depth=0: https://www.pucp.edu.pe/carrera/ingenieria-biomedica
2026-07-11 01:16:49 | DEBUG    | crawler              |   HTML (108,933b) depth=0: https://www.pucp.edu.pe/carrera/ingenieria-civil
2026-07-11 01:16:49 | DEBUG    | crawler              |   HTML (109,273b) depth=0: https://www.pucp.edu.pe/carrera/ingenieria-de-minas
2026-07-11 01:16:49 | DEBUG    | crawler              |   HTML (109,120b) depth=0: https://www.pucp.edu.pe/carrera/ingenieria-geologica
2026-07-11 01:16:49 | DEBUG    | crawler              |   HTML (108,898b) depth=0: https://www.pucp.edu.pe/carrera/ingenieria-industrial
2026-07-11 01:16:49 | DEBUG    | crawler              |   HTML (109,233b) depth=0: https://www.pucp.edu.pe/carrera/ingenieria-mecanica
2026-07-11 01:16:49 | DEBUG    | crawler              |   HTML (109,431b) depth=0: https://www.pucp.edu.pe/carrera/ingenieria-mecatronica
2026-07-11 01:16:49 | DEBUG    | crawler              |   HTML (109,587b) depth=0: https://www.pucp.edu.pe/carrera/ingenieria-quimica
2026-07-11 01:16:49 | DEBUG    | crawler              |   HTML (109,436b) depth=0: https://www.pucp.edu.pe/carrera/matematicas
2026-07-11 01:16:50 | DEBUG    | crawler              |   HTML (95,232b) depth=0: https://www.pucp.edu.pe/unidad/departamento-academico-de-ciencias
2026-07-11 01:16:50 | DEBUG    | crawler              |   HTML (27,225b) depth=0: http://blog.pucp.edu.pe/
2026-07-11 01:16:50 | DEBUG    | crawler              | robots.txt unreadable for https://admision.pucp.edu.pe: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1028)> (allowing)
2026-07-11 01:16:50 | DEBUG    | crawler              |   HTML (56,244b) depth=0: https://admision.pucp.edu.pe/
2026-07-11 01:16:51 | DEBUG    | crawler              | robots.txt unreadable for https://posgrado.pucp.edu.pe: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1028)> (allowing)
2026-07-11 01:16:51 | DEBUG    | crawler              |   HTML (48,910b) depth=0: https://posgrado.pucp.edu.pe/admision
2026-07-11 01:16:51 | DEBUG    | crawler              |   PDF: https://posgrado.pucp.edu.pe/wp-content/uploads/2026/05/PREGUNTAS-FRECUENTES-2026-2.pdf (found on: https://posgrado.pucp.edu.pe/admision)
2026-07-11 01:16:51 | DEBUG    | extractor            | PDF extracted: 9 page fragment(s) via pymupdf: https://posgrado.pucp.edu.pe/wp-content/uploads/2026/05/PREGUNTAS-FRECUENTES-2026-2.pdf
2026-07-11 01:16:51 | DEBUG    | crawler              | robots.txt unreadable for https://gobierno.pucp.edu.pe: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1028)> (allowing)
2026-07-11 01:16:51 | DEBUG    | crawler              |   HTML (86,332b) depth=0: https://gobierno.pucp.edu.pe/
2026-07-11 01:16:52 | DEBUG    | crawler              |   HTML (105,183b) depth=0: http://www.fondoeditorial.pucp.edu.pe/
2026-07-11 01:17:03 | INFO     | crawler              |   SSLError on http, retrying https: https://www.revistas.pucp.edu.pe/
2026-07-11 01:17:13 | WARNING  | crawler              |   SSLError: https://www.revistas.pucp.edu.pe/
2026-07-11 01:17:13 | DEBUG    | crawler              | robots.txt unreadable for https://departamento-ingenieria.pucp.edu.pe: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1028)> (allowing)
2026-07-11 01:17:13 | DEBUG    | crawler              |   HTML (110,467b) depth=0: https://departamento-ingenieria.pucp.edu.pe/
2026-07-11 01:17:13 | DEBUG    | crawler              | robots.txt unreadable for https://comienza.pucp.edu.pe: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1028)> (allowing)
2026-07-11 01:17:13 | DEBUG    | crawler              |   HTML (56,244b) depth=0: https://comienza.pucp.edu.pe/
2026-07-11 01:17:14 | DEBUG    | crawler              | robots.txt unreadable for https://facultad.pucp.edu.pe: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1028)> (allowing)
2026-07-11 01:17:14 | DEBUG    | crawler              |   HTML (93,552b) depth=0: https://facultad.pucp.edu.pe/ingenieria
2026-07-11 01:17:14 | DEBUG    | crawler              | robots.txt unreadable for https://facultad-ciencias-ingenieria.pucp.edu.pe: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1028)> (allowing)
2026-07-11 01:17:14 | DEBUG    | crawler              |   HTML (88,533b) depth=0: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-de-las-telecomunicaciones/plan-de-estudios
