2026-07-08 13:18:05 | DEBUG    | crawler              |   HTML (166,889b) depth=0: https://www.pucp.edu.pe/pregrado/carreras/por-facultad
2026-07-08 13:18:06 | DEBUG    | crawler              |   HTML (95,232b) depth=0: https://www.pucp.edu.pe/unidad/departamento-academico-de-ciencias
2026-07-08 13:18:08 | DEBUG    | crawler              |   HTML (96,311b) depth=0: https://www.pucp.edu.pe/unidad/departamento-de-ciencias-de-la-gestion
2026-07-08 13:18:08 | DEBUG    | crawler              |   HTML (106,568b) depth=0: https://www.pucp.edu.pe/
2026-07-08 13:18:08 | DEBUG    | crawler              |   HTML (224,755b) depth=1: https://educacioncontinua.pucp.edu.pe/oferta-academica
2026-07-08 13:18:08 | DEBUG    | crawler              | robots.txt unreadable for https://facultad-ciencias-ingenieria.pucp.edu.pe: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: self-signed certificate in certificate chain (_ssl.c:1028)> (allowing)
2026-07-08 13:18:12 | DEBUG    | crawler              |   HTML (88,533b) depth=1: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-de-las-telecomunicaciones/plan-de-estudios
2026-07-08 13:18:12 | DEBUG    | crawler              |   PDF: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_TELECOMUNICACIONES-2026-1.pdf (found on: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-de-las-telecomunicaciones/plan-de-estudios)
2026-07-08 13:18:12 | DEBUG    | extractor            | PDF extracted: 2 page fragment(s) via pymupdf: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_TELECOMUNICACIONES-2026-1.pdf
2026-07-08 13:18:15 | DEBUG    | crawler              |   HTML (87,902b) depth=1: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-electronica/plan-de-estudios
2026-07-08 13:18:15 | DEBUG    | crawler              |   PDF: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_ELECTRONICA-2026-1.pdf (found on: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-electronica/plan-de-estudios)
2026-07-08 13:18:15 | DEBUG    | extractor            | PDF extracted: 2 page fragment(s) via pymupdf: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_ELECTRONICA-2026-1.pdf
2026-07-08 13:18:18 | DEBUG    | crawler              |   HTML (88,098b) depth=1: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-informatica/plan-de-estudios
2026-07-08 13:18:18 | DEBUG    | crawler              |   PDF: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_INFORMATICA-2026-1.pdf (found on: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-informatica/plan-de-estudios)
2026-07-08 13:18:18 | DEBUG    | extractor            | PDF extracted: 2 page fragment(s) via pymupdf: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_INFORMATICA-2026-1.pdf
2026-07-08 13:19:33 | DEBUG    | crawler              | robots.txt unreadable for http://facultad.pucp.edu.pe: <urlopen error [Errno 60] Operation timed out> (allowing)
2026-07-08 13:21:22 | INFO     | crawler              |   ConnectTimeout on http, retrying https: https://facultad.pucp.edu.pe/letras-ciencias-humanas/carreras/ciencias-de-la-informacion/plan-de-estudios
2026-07-08 13:21:26 | DEBUG    | crawler              |   HTML (92,501b) depth=1: http://facultad.pucp.edu.pe/letras-ciencias-humanas/carreras/ciencias-de-la-informacion/plan-de-estudios
2026-07-08 13:21:26 | DEBUG    | extractor            | Table extraction: 47 rows from https://facultad.pucp.edu.pe/letras-ciencias-humanas/especialidades/ciencias-de-la-informacion/plan-de-estudios
2026-07-08 13:21:28 | DEBUG    | crawler              |   PDF: http://files.pucp.edu.pe/facultad/llcchh/wp-content/uploads/2015/12/Sumillas_Plan_Estudios_CCII_2016.pdf (found on: http://facultad.pucp.edu.pe/letras-ciencias-humanas/carreras/ciencias-de-la-informacion/plan-de-estudios)
2026-07-08 13:21:28 | DEBUG    | extractor            | PDF extracted: 11 page fragment(s) via pymupdf: http://files.pucp.edu.pe/facultad/llcchh/wp-content/uploads/2015/12/Sumillas_Plan_Estudios_CCII_2016.pdf
2026-07-08 13:23:18 | INFO     | crawler              |   ConnectTimeout on http, retrying https: https://facultad.pucp.edu.pe/ingenieria/carreras/fisica/plan-de-estudios
2026-07-08 13:23:18 | DEBUG    | crawler              |   HTML (87,481b) depth=1: http://facultad.pucp.edu.pe/ingenieria/carreras/fisica/plan-de-estudios
2026-07-08 13:23:18 | DEBUG    | crawler              |   PDF: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_FISICA-2026-1.pdf (found on: http://facultad.pucp.edu.pe/ingenieria/carreras/fisica/plan-de-estudios)
2026-07-08 13:23:18 | DEBUG    | extractor            | PDF extracted: 2 page fragment(s) via pymupdf: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_FISICA-2026-1.pdf
2026-07-08 13:23:19 | DEBUG    | crawler              |   HTML (88,341b) depth=1: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-ambiental-y-sostenible/plan-de-estudios
2026-07-08 13:23:19 | DEBUG    | crawler              |   PDF: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_AMBIENTAL-2026-1.pdf (found on: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-ambiental-y-sostenible/plan-de-estudios)
2026-07-08 13:23:19 | DEBUG    | extractor            | PDF extracted: 2 page fragment(s) via pymupdf: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2026/03/ppee_AMBIENTAL-2026-1.pdf
2026-07-08 13:23:22 | DEBUG    | crawler              |   HTML (90,908b) depth=1: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-biomedica/plan-de-estudios
2026-07-08 13:23:23 | DEBUG    | crawler              |   PDF: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2025/05/Plan-de-Estudios-IB-PUCP_EEGGCC-1.pdf (found on: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-biomedica/plan-de-estudios)
2026-07-08 13:23:23 | WARNING  | extractor            | PDF has 0 chars over 1 page(s) (engine=pypdf) — flagging for manual review: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2025/05/Plan-de-Estudios-IB-PUCP_EEGGCC-1.pdf
2026-07-08 13:23:25 | DEBUG    | crawler              |   PDF: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2025/05/Plan-de-Estudios-IB-PUCP_FCI.pdf (found on: https://facultad-ciencias-ingenieria.pucp.edu.pe/carreras/ingenieria-biomedica/plan-de-estudios)
2026-07-08 13:23:25 | WARNING  | extractor            | PDF has 0 chars over 1 page(s) (engine=pypdf) — flagging for manual review: https://facultad-ciencias-ingenieria.pucp.edu.pe/wp-content/uploads/2025/05/Plan-de-Estudios-IB-PUCP_FCI.pdf
